query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,trialGrayscale.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,trialGrayscale.stopped,trials.mouse_2.x,trials.mouse_2.y,trials.mouse_2.leftButton,trials.mouse_2.midButton,trials.mouse_2.rightButton,trials.mouse_2.time,trials.mouse_2.corr,trials.mouse_2.clicked_name,trials.toggle_button.numClicks,trials.toggle_button.timesOn,trials.toggle_button.timesOff,EndScreen.started,textEndMessage.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024378583999350667,0.05605883395764977,0.05605883395764977,1.403156833956018,space,1.1635553329251707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,0,0,0,[np.float64(0.6194444444444445)],[np.float64(0.2513888888888889)],[1],[0],[0],[5.8717040829360485],[1],['image3'],,,,,,,,,,,,0,0,0,0,,,,,1.543118334026076,,,,,,,,,1.5299300419865176,0.12678520800545812,1.543118334026076,1.543118334026076,1.543118334026076,1.543118334026076,1.543118334026076,1.543118334026076,7.401800374966115,[np.float64(0.6194444444444445)],[np.float64(0.2513888888888889)],[1],[0],[0],[5.8717040829360485],[1],['image3'],7.4020163340028375,7.406456416938454,8.531160874990746,8.39810774999205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,1,1,0,[np.float64(0.34305555555555556)],[np.float64(0.21944444444444444)],[1],[0],[0],[2.017859625048004],[1],['image2'],,,,,,,,,,,,0,1,1,3,,,,,8.531160874990746,,,,,,,,,8.527630042051896,0.1256646669935435,8.531160874990746,8.531160874990746,8.531160874990746,8.531160874990746,8.531160874990746,8.531160874990746,10.545661833952181,[np.float64(0.34305555555555556)],[np.float64(0.21944444444444444)],[1],[0],[0],[2.017859625048004],[1],['image2'],10.545881791971624,10.548794792033732,11.698242084006779,11.53918270894792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,2,2,0,[np.float64(0.059722222222222225)],[np.float64(0.22777777777777777)],[1],[0],[0],[1.6265029580099508],[1],['image1'],,,,,,,,,,,,0,2,2,1,,,,,11.698242084006779,,,,,,,,,11.694775167037733,0.1489441660232842,11.698242084006779,11.698242084006779,11.698242084006779,11.698242084006779,11.698242084006779,11.698242084006779,13.321423541987315,[np.float64(0.059722222222222225)],[np.float64(0.22777777777777777)],[1],[0],[0],[1.6265029580099508],[1],['image1'],13.321604124968871,13.324583541951142,14.451496583991684,14.310608458938077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,3,3,0,[np.float64(0.3263888888888889)],[np.float64(-0.11666666666666667)],[1],[0],[0],[4.468887124909088],[1],['image5'],,,,,,,,,,,,0,3,3,4,,,,,14.451496583991684,,,,,,,,,14.448040000046603,0.12647766596637666,14.451496583991684,14.451496583991684,14.451496583991684,14.451496583991684,14.451496583991684,14.451496583991684,18.91708170901984,[np.float64(0.3263888888888889)],[np.float64(-0.11666666666666667)],[1],[0],[0],[4.468887124909088],[1],['image5'],18.917249292018823,18.920661333948374,20.10086195904296,19.90617241698783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,4,4,0,[np.float64(0.3138888888888889)],[np.float64(0.2388888888888889)],[1],[0],[0],[1.571296083042398],[1],['image2'],,,,,,,,,,,,0,4,4,2,,,,,20.10086195904296,,,,,,,,,20.097395792021416,0.18019420804921538,20.10086195904296,20.10086195904296,20.10086195904296,20.10086195904296,20.10086195904296,20.10086195904296,21.668844250030816,[np.float64(0.3138888888888889)],[np.float64(0.2388888888888889)],[1],[0],[0],[1.571296083042398],[1],['image2'],21.669038041960448,21.67328108404763,22.66245879197959,22.656177291995846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.656457250006497,22.66245879197959,22.66245879197959,23.757802124950103,space,1.0917670410126448,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,0,0,0,,,,,,,,,"[np.float64(-0.4527777777777778), np.float64(-0.4527777777777778), np.float64(-0.49166666666666664), np.float64(-0.49166666666666664), np.float64(-0.3902777777777778), np.float64(-0.44583333333333336), np.float64(-0.4583333333333333), np.float64(0.06805555555555555)]","[np.float64(-0.45555555555555555), np.float64(-0.45555555555555555), np.float64(-0.4527777777777778), np.float64(-0.4527777777777778), np.float64(-0.46944444444444444), np.float64(-0.4222222222222222), np.float64(-0.45555555555555555), np.float64(0.25416666666666665)]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[2.78439129202161, 3.1491949589690194, 3.8451863339869305, 4.218281124951318, 4.907974458998069, 6.000683999969624, 6.6123783339280635, 10.383576791966334]",[1],"[None, None, None, None, None, None, None, 'image1']",6,"[2.8661028750939295, 3.2133605000562966, 3.9153701670002192, 4.286025167093612, 4.975291584036313, 6.068163542076945]","[2.8661161250201985, 3.213373417034745, 4.092514584073797, 4.2860375420423225, 4.975302584003657, 6.068176792003214]",,,,,0,0,0,1,24.026228292030282,,,,,,,,,,,,,,,,,,,,,,,,,,34.400493624969386,34.40390274999663,35.609457583981566,35.38961658393964,,,,,,,,24.01586425001733,0.2580606669653207,24.026228292030282,24.026228292030282,24.026228292030282,24.026228292030282,24.026228292030282,24.026228292030282,24.026228292030282,34.40014666703064,"[np.float64(-0.4527777777777778), np.float64(-0.4527777777777778), np.float64(-0.49166666666666664), np.float64(-0.49166666666666664), np.float64(-0.3902777777777778), np.float64(-0.44583333333333336), np.float64(-0.4583333333333333), np.float64(0.06805555555555555)]","[np.float64(-0.45555555555555555), np.float64(-0.45555555555555555), np.float64(-0.4527777777777778), np.float64(-0.4527777777777778), np.float64(-0.46944444444444444), np.float64(-0.4222222222222222), np.float64(-0.45555555555555555), np.float64(0.25416666666666665)]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[2.78439129202161, 3.1491949589690194, 3.8451863339869305, 4.218281124951318, 4.907974458998069, 6.000683999969624, 6.6123783339280635, 10.383576791966334]",[1],"[None, None, None, None, None, None, None, 'image1']",6,"[2.8661028750939295, 3.2133605000562966, 3.9153701670002192, 4.286025167093612, 4.975291584036313, 6.068163542076945]","[2.8661161250201985, 3.213373417034745, 4.092514584073797, 4.2860375420423225, 4.975302584003657, 6.068176792003214]",,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,1,1,0,,,,,,,,,"[np.float64(-0.48055555555555557), np.float64(-0.48055555555555557), np.float64(-0.47638888888888886), np.float64(-0.47638888888888886), np.float64(0.5972222222222222)]","[np.float64(-0.42777777777777776), np.float64(-0.42777777777777776), np.float64(-0.42083333333333334), np.float64(-0.42083333333333334), np.float64(0.23472222222222222)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.5433926249388605, 0.8935305419145152, 1.5777351669967175, 1.7511811669683084, 3.520014417008497]",[1],"[None, None, None, None, 'image3']",1,[0.6188680420164019],[0.6188811669126153],,,,,0,1,1,0,35.609457583981566,,,,,,,,,,,,,,,,,,,,,,,,,,39.12531329202466,39.1288931670133,40.34425854193978,40.113982249982655,,,,,,,,35.60437295900192,0.2039249159861356,35.609457583981566,35.609457583981566,35.609457583981566,35.609457583981566,35.609457583981566,35.609457583981566,35.609457583981566,39.12510037503671,"[np.float64(-0.48055555555555557), np.float64(-0.48055555555555557), np.float64(-0.47638888888888886), np.float64(-0.47638888888888886), np.float64(0.5972222222222222)]","[np.float64(-0.42777777777777776), np.float64(-0.42777777777777776), np.float64(-0.42083333333333334), np.float64(-0.42083333333333334), np.float64(0.23472222222222222)]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.5433926249388605, 0.8935305419145152, 1.5777351669967175, 1.7511811669683084, 3.520014417008497]",[1],"[None, None, None, None, 'image3']",1,[0.6188680420164019],[0.6188811669126153],,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,2,2,0,,,,,,,,,[np.float64(0.30833333333333335)],[np.float64(0.20694444444444443)],[1],[0],[0],[1.7514639999717474],[1],['image2'],0,,,,,,,0,2,2,3,40.34425854193978,,,,,,,,,,,,,,,,,,,,,,,,,,42.09163737494964,42.095722959027626,43.31922199996188,43.08137733396143,,,,,,,,40.33920816704631,0.2139351669466123,40.34425854193978,40.34425854193978,40.34425854193978,40.34425854193978,40.34425854193978,40.34425854193978,40.34425854193978,42.09146929194685,[np.float64(0.30833333333333335)],[np.float64(0.20694444444444443)],[1],[0],[0],[1.7514639999717474],[1],['image2'],0,,,,,,001,2025-06-17_12h07.36.224,mock_study,,2025.1.1,2025-06-17 12h07.38.846145 -0400,
