query_image,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGrayscale.thisRepN,trialsGrayscale.thisTrialN,trialsGrayscale.thisN,trialsGrayscale.thisIndex,thisRow.t,notes,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.corr,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,confidenceScreen.started,text_confidenceQuestion.started,slider.started,buttonAdvance.started,confidenceScreen.stopped,slider.response,slider.rt,buttonAdvance.numClicks,buttonAdvance.timesOn,buttonAdvance.timesOff,NextScreen.started,textNextScreen.started,key_NextScreen.started,NextScreen.stopped,key_NextScreen.keys,key_NextScreen.rt,key_NextScreen.duration,trialGrayscale.started,mouse_2.started,imageQuery_2.started,image1_2.started,image2_2.started,image3_2.started,image4_2.started,image5_2.started,toggle_button.started,trialGrayscale.stopped,trialsGrayscale.mouse_2.x,trialsGrayscale.mouse_2.y,trialsGrayscale.mouse_2.leftButton,trialsGrayscale.mouse_2.midButton,trialsGrayscale.mouse_2.rightButton,trialsGrayscale.mouse_2.time,trialsGrayscale.mouse_2.corr,trialsGrayscale.mouse_2.clicked_name,trialsGrayscale.toggle_button.numClicks,trialsGrayscale.toggle_button.timesOn,trialsGrayscale.toggle_button.timesOff,EndScreen.started,textEndMessage.started,textEndMessage.stopped,EndScreen.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02681454096455127,0.20657058292999864,0.20657058292999864,1.2687829580390826,space,1.048203415935859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/apple.png,images/orange.png,images/apple.png,images/grape.png,images/banana.png,images/kiwi.png,image2,images/orange_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/kiwi_gray.png,0,0,0,[np.float64(0.3236111111111111)],[np.float64(0.23333333333333334)],[1],[0],[0],[0.8028614580398425],[1],['image2'],,,,,,,,,,,,0,0,0,3,,,,,1.4331480829278007,,,,,,,,,1.420878457953222,0.15208587504457682,1.4331480829278007,1.4331480829278007,1.4331480829278007,1.4331480829278007,1.4331480829278007,1.4331480829278007,2.224040708038956,[np.float64(0.3236111111111111)],[np.float64(0.23333333333333334)],[1],[0],[0],[0.8028614580398425],[1],['image2'],2.2244699159637094,2.2295295000076294,3.425349415978417,3.2128379159839824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,1,1,0,[np.float64(0.3138888888888889)],[np.float64(0.22083333333333333)],[1],[0],[0],[0.5904562500072643],[1],['image2'],,,,,,,,,,,,0,1,1,2,,,,,3.425349415978417,,,,,,,,,3.4218867080053315,0.19747833290603012,3.425349415978417,3.425349415978417,3.425349415978417,3.425349415978417,3.425349415978417,3.425349415978417,4.012572290957905,[np.float64(0.3138888888888889)],[np.float64(0.22083333333333333)],[1],[0],[0],[0.5904562500072643],[1],['image2'],4.012862500036135,4.017237165942788,5.142420290969312,5.003424249938689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/grape.png,images/kiwi.png,images/orange.png,images/grape.png,images/banana.png,images/apple.png,image3,images/kiwi_gray.png,images/orange_gray.png,images/grape_gray.png,images/banana_gray.png,images/apple_gray.png,2,2,0,[np.float64(0.6291666666666667)],[np.float64(0.23055555555555557)],[1],[0],[0],[0.8811380841070786],[1],['image3'],,,,,,,,,,,,0,2,2,0,,,,,5.142420290969312,,,,,,,,,5.139029624988325,0.12621762498747557,5.142420290969312,5.142420290969312,5.142420290969312,5.142420290969312,5.142420290969312,5.142420290969312,6.020452291006222,[np.float64(0.6291666666666667)],[np.float64(0.23055555555555557)],[1],[0],[0],[0.8811380841070786],[1],['image3'],6.020722375018522,6.024694083025679,7.149952290928923,7.0093646249733865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,3,3,0,[np.float64(0.3138888888888889)],[np.float64(-0.2361111111111111)],[1],[0],[0],[0.8417311249068007],[1],['image5'],,,,,,,,,,,,0,3,3,4,,,,,7.149952290928923,,,,,,,,,7.146780624985695,0.12611374992411584,7.149952290928923,7.149952290928923,7.149952290928923,7.149952290928923,7.149952290928923,7.149952290928923,7.9887536249589175,[np.float64(0.3138888888888889)],[np.float64(-0.2361111111111111)],[1],[0],[0],[0.8417311249068007],[1],['image5'],7.988984665949829,7.992577541037463,9.139628874952905,8.976586750010028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/kiwi.png,images/kiwi.png,images/apple.png,images/grape.png,images/banana.png,images/orange.png,image1,images/kiwi_gray.png,images/apple_gray.png,images/grape_gray.png,images/banana_gray.png,images/orange_gray.png,4,4,0,[np.float64(0.006944444444444444)],[np.float64(0.11944444444444445)],[1],[0],[0],[0.8371953340247273],[1],['image1'],,,,,,,,,,,,0,4,4,1,,,,,9.139628874952905,,,,,,,,,9.1365165830357,0.14758087508380413,9.139628874952905,9.139628874952905,9.139628874952905,9.139628874952905,9.139628874952905,9.139628874952905,9.973931374959648,[np.float64(0.006944444444444444)],[np.float64(0.11944444444444445)],[1],[0],[0],[0.8371953340247273],[1],['image1'],9.974212375003844,9.979894082993269,11.010097249993123,10.969064957927912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.973208375042304,11.010097249993123,11.010097249993123,11.010097249993123,13.355370083008893,4.0,1.4111443749861792,1,[2.344424666953273],[2.3444287920137867],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.355451958021149,13.367228540941142,13.367228540941142,14.208705083001405,space,0.8344164990121499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/banana.png,images/apple.png,images/banana.png,images/orange.png,images/kiwi.png,images/grape.png,image2,images/apple_gray.png,images/banana_gray.png,images/orange_gray.png,images/kiwi_gray.png,images/grape_gray.png,0,0,0,,,,,,,,,"[np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.37777777777777777), np.float64(-0.3611111111111111), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(0.33055555555555555)]","[np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.40555555555555556), np.float64(-0.4027777777777778), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(0.24166666666666667)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5515814999816939, 1.1983859579777345, 1.6678974999813363, 2.1015129999723285, 2.6565309159923345, 3.3352064579958096, 3.775571540929377, 4.287265416001901, 4.702315249945968, 5.185113415936939, 5.744294499978423, 7.360165540943854, 8.386051415931433, 9.39286458294373, 9.92260416597128, 10.343138915952295, 10.697388874948956, 11.077252499992028, 11.421605165931396, 11.831028207903728, 13.385572333005257]",[1],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'image2']",20,"[0.5446760830236599, 1.1914633749984205, 1.6610210409853607, 2.0945532909827307, 2.64966275007464, 3.3282733330270275, 3.768705290975049, 4.280326458043419, 4.695414207992144, 5.178174333064817, 5.737401416059583, 7.353282458032481, 8.379087208071724, 9.385873625054955, 9.915673958021216, 10.336167540983297, 10.69054874998983, 11.070347749977373, 11.41463025007397, 11.8246840829961]","[0.5446805410319939, 1.1914678330067545, 1.767443499993533, 2.0945586250163615, 2.739999791025184, 3.3282788330689073, 3.862713500042446, 4.28033141605556, 4.695420125033706, 5.1781794159905985, 5.737407332984731, 7.353287165984511, 8.379091624985449, 9.385878707980737, 9.91567912499886, 10.336172415991314, 10.690554333035834, 11.07035283301957, 11.414634707965888, 11.82469170796685]",,,,,0,0,0,2,14.516567290993407,,,,,,,,,,,,,,,,,,,,,,,,,,27.896432625013404,27.900191999971867,29.126140082953498,28.886210458003916,,,,,,,,,,,,,,,,,,14.509429250028916,0.3007012919988483,14.516567290993407,14.516567290993407,14.516567290993407,14.516567290993407,14.516567290993407,14.516567290993407,14.516567290993407,27.895707415998913,"[np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.38472222222222224), np.float64(-0.37777777777777777), np.float64(-0.3611111111111111), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(-0.375), np.float64(0.33055555555555555)]","[np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.3625), np.float64(-0.40555555555555556), np.float64(-0.4027777777777778), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(-0.3972222222222222), np.float64(0.24166666666666667)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5515814999816939, 1.1983859579777345, 1.6678974999813363, 2.1015129999723285, 2.6565309159923345, 3.3352064579958096, 3.775571540929377, 4.287265416001901, 4.702315249945968, 5.185113415936939, 5.744294499978423, 7.360165540943854, 8.386051415931433, 9.39286458294373, 9.92260416597128, 10.343138915952295, 10.697388874948956, 11.077252499992028, 11.421605165931396, 11.831028207903728, 13.385572333005257]",[1],"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'image2']",20,"[0.5446760830236599, 1.1914633749984205, 1.6610210409853607, 2.0945532909827307, 2.64966275007464, 3.3282733330270275, 3.768705290975049, 4.280326458043419, 4.695414207992144, 5.178174333064817, 5.737401416059583, 7.353282458032481, 8.379087208071724, 9.385873625054955, 9.915673958021216, 10.336167540983297, 10.69054874998983, 11.070347749977373, 11.41463025007397, 11.8246840829961]","[0.5446805410319939, 1.1914678330067545, 1.767443499993533, 2.0945586250163615, 2.739999791025184, 3.3282788330689073, 3.862713500042446, 4.28033141605556, 4.695420125033706, 5.1781794159905985, 5.737407332984731, 7.353287165984511, 8.379091624985449, 9.385878707980737, 9.91567912499886, 10.336172415991314, 10.690554333035834, 11.07035283301957, 11.414634707965888, 11.82469170796685]",,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
images/orange.png,images/banana.png,images/apple.png,images/kiwi.png,images/grape.png,images/orange.png,image5,images/banana_gray.png,images/apple_gray.png,images/kiwi_gray.png,images/grape_gray.png,images/orange_gray.png,1,1,0,,,,,,,,,"[np.float64(-0.44722222222222224), np.float64(-0.44722222222222224), np.float64(0.28194444444444444)]","[np.float64(-0.4388888888888889), np.float64(-0.3861111111111111), np.float64(-0.2)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.8308324590325356, 2.3154971670592204, 3.014253917033784]",[1],"[None, None, 'image5']",2,"[1.8263712079497054, 2.311032624915242]","[1.8263755419757217, 2.3110376249533147]",,,,,0,1,1,4,29.126140082953498,,,,,,,,,,,,,,,,,,,,,,,,,,32.13645945803728,32.142152499989606,33.39592191600241,33.13675375003368,,,,,,,,,,,,,,,,,,29.121441249968484,0.22505262505728751,29.126140082953498,29.126140082953498,29.126140082953498,29.126140082953498,29.126140082953498,29.126140082953498,29.126140082953498,32.13626354094595,"[np.float64(-0.44722222222222224), np.float64(-0.44722222222222224), np.float64(0.28194444444444444)]","[np.float64(-0.4388888888888889), np.float64(-0.3861111111111111), np.float64(-0.2)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.8308324590325356, 2.3154971670592204, 3.014253917033784]",[1],"[None, None, 'image5']",2,"[1.8263712079497054, 2.311032624915242]","[1.8263755419757217, 2.3110376249533147]",,,,,,001,2025-06-17_15h25.40.619,mock_study,,2025.1.1,2025-06-17 15h25.44.937895 -0400,
