thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,thisRow.t,notes,assigned_group,WelcomeScreen.started,textWelcomeMessage.started,key_Continue.started,WelcomeScreen.stopped,key_Continue.keys,key_Continue.rt,key_Continue.duration,trialColor.started,mouse.started,imageQuery.started,image1.started,image2.started,image3.started,image4.started,image5.started,queryCaption.started,clicked_image,isCorrect,trialColor.stopped,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,blank500.started,text.started,text.stopped,blank500.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,color_only,0.033049499965272844,0.2295438339933753,0.2295438339933753,2.6567179589765146,space,2.4222082919441164,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
0,0,0,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.20555555555555555)],[np.float64(-0.22916666666666666)],[1],[0],[0],[10.75837254198268],['image4'],0,0,0,0,0,0,0,0,2.8077560419915244,,,,,,,,,,2.7894374589668587,0.1327029170934111,2.8077560419915244,2.8077560419915244,2.8077560419915244,2.8077560419915244,2.8077560419915244,2.8077560419915244,2.8077560419915244,images/hotel1_correct,1,13.54852062498685,[np.float64(0.20555555555555555)],[np.float64(-0.22916666666666666)],[1],[0],[0],[10.75837254198268],['image4'],13.548779624979943,13.552714459015988,14.606175333959982,14.540391459013335,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
1,1,0,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[np.float64(0.18194444444444444)],[np.float64(0.15)],[1],[0],[0],[20.35432158294134],['image2'],0,0,0,0,0,1,1,1,14.606175333959982,,,,,,,,,,14.601316584041342,0.0525907080154866,14.606175333959982,14.606175333959982,14.606175333959982,14.606175333959982,14.606175333959982,14.606175333959982,14.606175333959982,images/hotel2_correct,1,34.95615695905872,[np.float64(0.18194444444444444)],[np.float64(0.15)],[1],[0],[0],[20.35432158294134],['image2'],34.9563453750452,34.96063916699495,36.107048959005624,35.945824334048666,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
2,2,0,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.28888888888888886)],[np.float64(-0.12916666666666668)],[1],[0],[0],[10.82975329097826],['image1'],0,0,0,0,0,2,2,2,36.107048959005624,,,,,,,,,,36.10184887505602,0.14554916601628065,36.107048959005624,36.107048959005624,36.107048959005624,36.107048959005624,36.107048959005624,36.107048959005624,36.107048959005624,images/hotel3_correct,1,46.93204329197761,[np.float64(-0.28888888888888886)],[np.float64(-0.12916666666666668)],[1],[0],[0],[10.82975329097826],['image1'],46.932230334030464,46.93523608404212,48.02815016696695,47.92239608406089,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
3,0,1,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.17916666666666667)],[np.float64(-0.19305555555555556)],[1],[0],[0],[3.7769456669921055],['image4'],0,0,0,0,1,0,3,0,48.02815016696695,,,,,,,,,,48.02293025003746,0.09074687492102385,48.02815016696695,48.02815016696695,48.02815016696695,48.02815016696695,48.02815016696695,48.02815016696695,48.02815016696695,images/hotel1_correct,1,51.80041479202919,[np.float64(0.17916666666666667)],[np.float64(-0.19305555555555556)],[1],[0],[0],[3.7769456669921055],['image4'],51.80057916697115,51.81107616703957,52.937512709060684,52.797229249961674,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
4,1,1,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[np.float64(-0.39166666666666666)],[np.float64(-0.22777777777777777)],[1],[0],[0],[2.8462590830167755],['image1'],0,0,0,0,1,1,4,2,52.937512709060684,,,,,,,,,,52.933149709017016,0.13261495891492814,52.937512709060684,52.937512709060684,52.937512709060684,52.937512709060684,52.937512709060684,52.937512709060684,52.937512709060684,images/hotel3_correct,1,55.77992512495257,[np.float64(-0.39166666666666666)],[np.float64(-0.22777777777777777)],[1],[0],[0],[2.8462590830167755],['image1'],55.78011362499092,55.78299633401912,56.83753337501548,56.77104220900219,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
5,2,1,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[np.float64(-0.19722222222222222)],[np.float64(-0.12361111111111112)],[1],[0],[0],[3.288803083007224],['image1'],0,0,0,0,1,2,5,1,56.83753337501548,,,,,,,,,,56.83247912500519,0.05241316603496671,56.83753337501548,56.83753337501548,56.83753337501548,56.83753337501548,56.83753337501548,56.83753337501548,56.83753337501548,images/hotel2_sample1,0,60.121697542024776,[np.float64(-0.19722222222222222)],[np.float64(-0.12361111111111112)],[1],[0],[0],[3.288803083007224],['image1'],60.121847167029046,60.12772229197435,61.16599600005429,61.11337449995335,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
6,0,2,images/hotel2_query,images/hotel2_sample1,images/hotel2_correct,images/hotel2_sample2,images/hotel2_sample3,images/hotel2_sample4,images/hotel2_correct,[np.float64(0.06527777777777778)],[np.float64(0.05416666666666667)],[1],[0],[0],[1.701437541982159],['image2'],0,0,0,0,2,0,6,1,61.16599600005429,,,,,,,,,,61.1613327920204,0.03952766698785126,61.16599600005429,61.16599600005429,61.16599600005429,61.16599600005429,61.16599600005429,61.16599600005429,61.16599600005429,images/hotel2_correct,1,62.86366870906204,[np.float64(0.06527777777777778)],[np.float64(0.05416666666666667)],[1],[0],[0],[1.701437541982159],['image2'],62.86385462502949,62.869116249959916,63.966175416950136,63.85525091702584,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
7,1,2,images/hotel1_query,images/hotel1_sample1,images/hotel1_sample2,images/hotel1_sample4,images/hotel1_correct,images/hotel1_sample3,images/hotel1_correct,[np.float64(0.07777777777777778)],[np.float64(-0.1763888888888889)],[1],[0],[0],[0.5144154999870807],['image4'],0,0,0,0,2,1,7,0,63.966175416950136,,,,,,,,,,63.96189429203514,0.09809370792936534,63.966175416950136,63.966175416950136,63.966175416950136,63.966175416950136,63.966175416950136,63.966175416950136,63.966175416950136,images/hotel1_correct,1,64.47685787500814,[np.float64(0.07777777777777778)],[np.float64(-0.1763888888888889)],[1],[0],[0],[0.5144154999870807],['image4'],64.47700666706078,64.47980375005864,65.61756383406464,65.47104766697157,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
8,2,2,images/hotel3_query,images/hotel3_correct,images/hotel3_sample1,images/hotel3_sample2,images/hotel3_sample3,images/hotel3_sample4,images/hotel3_correct,[],[],[],[],[],[],[],0,0,0,0,2,2,8,2,65.61756383406464,,,,,,,,,,65.61281108402181,0.13584529201034456,65.61756383406464,65.61756383406464,65.61756383406464,65.61756383406464,65.61756383406464,65.61756383406464,65.61756383406464,images/hotel3_sample1,0,66.11248008406255,[],[],[],[],[],[],[],66.11258025001734,66.11936054204125,67.16853104205802,67.10470400005579,,001,2025-06-18_11h24.24.761,mock_study,,2025.1.1,2025-06-18 11h24.30.833175 -0400,
