thisN,thisTrialN,thisRepN,hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,colorBlock.thisRepN,colorBlock.thisTrialN,colorBlock.thisN,colorBlock.thisIndex,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,grayBlock.thisRepN,grayBlock.thisTrialN,grayBlock.thisN,grayBlock.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,bothBlock.thisRepN,bothBlock.thisTrialN,bothBlock.thisN,bothBlock.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,assigned_group,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,colorBlock.slider.response,colorBlock.slider.rt,colorBlock.slider.history,image3_3.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,grayBlock.slider.response,grayBlock.slider.rt,grayBlock.slider.history,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,bothBlock.slider.response,bothBlock.slider.rt,bothBlock.slider.history,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,both_blocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
0,0,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,[np.float64(0.6805555555555556)],[np.float64(0.29583333333333334)],[1],[0],[0],[3.841080875019543],"['image3', 'image3']",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,3.9522115419385955,,,images/hotel5_correct.jpg,1,[np.float64(0.6805555555555556)],[np.float64(0.29583333333333334)],[1],[0],[0],[3.841080875019543],"['image3', 'image3']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
1,1,0,images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,[np.float64(0.46805555555555556)],[np.float64(0.008333333333333333)],[1],[0],[0],[6.742077750037424],"['image5', 'image5']",,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,8.432197249960154,,,images/hotel4_correct.jpg,1,[np.float64(0.46805555555555556)],[np.float64(0.008333333333333333)],[1],[0],[0],[6.742077750037424],"['image5', 'image5']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
2,2,0,images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,[np.float64(0.2125)],[np.float64(0.2222222222222222)],[1],[0],[0],[0.4556014579720795],"['image2', 'image2']",,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,16.141303166979924,,,images/hotel2_correct.jpg,1,[np.float64(0.2125)],[np.float64(0.2222222222222222)],[1],[0],[0],[0.4556014579720795],"['image2', 'image2']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
3,3,0,images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,17.681895999936387,,,images/hotel3_sample2.jpeg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
4,4,0,images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,[np.float64(0.5069444444444444)],[np.float64(-0.02638888888888889)],[1],[0],[0],[0.452484333072789],"['image5', 'image5']",,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,19.10677529196255,,,images/hotel1_sample4.jpg,0,[np.float64(0.5069444444444444)],[np.float64(-0.02638888888888889)],[1],[0],[0],[0.452484333072789],"['image5', 'image5']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
0,0,0,images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,,,,,,,,[np.float64(0.0875)],[np.float64(0.19166666666666668)],[1],[0],[0],[1.2342032919405028],"['image2', 'image2']",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,23.258962041931227,,,images/hotel4_gray2.jpg,0,,,,,,,,4.0,1.2625897499965504,"[(4.0, 1.2625897499965504)]",23.258962041931227,[np.float64(0.0875)],[np.float64(0.19166666666666668)],[1],[0],[0],[1.2342032919405028],"['image2', 'image2']",,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
1,1,0,images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,,,,,,,,[np.float64(0.45555555555555555)],[np.float64(0.03333333333333333)],[1],[0],[0],[0.3425229169661179],"['image5', 'image5']",,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,,,25.55036549991928,,,images/hotel3_gray4.jpg,0,,,,,,,,,,,25.55036549991928,[np.float64(0.45555555555555555)],[np.float64(0.03333333333333333)],[1],[0],[0],[0.3425229169661179],"['image5', 'image5']",,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
2,2,0,images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,,,,,,,,[np.float64(0.1763888888888889)],[np.float64(-0.002777777777777778)],[1],[0],[0],[0.33937441697344184],"['image4', 'image4']",,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,26.845918124890886,,,images/hotel2_gray3.jpg,0,,,,,,,,,,,26.845918124890886,[np.float64(0.1763888888888889)],[np.float64(-0.002777777777777778)],[1],[0],[0],[0.33937441697344184],"['image4', 'image4']",,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
3,3,0,images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,,,,,,,,[np.float64(0.4625)],[np.float64(0.1763888888888889)],[1],[0],[0],[0.612569791963324],"['image3', 'image3']",,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,4,,,,,,,,,28.448416624916717,,,images/hotel5_correctGray.jpg,0,,,,,,,,,,,28.448416624916717,[np.float64(0.4625)],[np.float64(0.1763888888888889)],[1],[0],[0],[0.612569791963324],"['image3', 'image3']",,,,,,,,,,,,,,,,,,001,2025-06-19_11h49.21.834,mock_study,,2025.1.1,2025-06-19 11h50.05.637014 -0400,
