hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,slider.response,slider.rt,slider.history,image3_3.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,0,0,0,[np.float64(0.3472222222222222)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.7853433330310509],"['image1', 'image1']",,,,,,,,0,0,0,3,,,,,,,,,1.597254249965772,,images/hotel4_sample1.jpg,0,[np.float64(0.3472222222222222)],[np.float64(-0.24166666666666667)],[1],[0],[0],[0.7853433330310509],"['image1', 'image1']",,,,,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel5_query.jpg,images/hotel5_sample1.jpg,images/hotel5_sample2.jpg,images/hotel5_correct.jpg,images/hotel5_sample3.png,images/hotel5_sample4.jpg,images/hotel5_correct.jpg,images/hotel5_gray1.jpg,images/hotel5_gray2.jpg,images/hotel5_correctGray.jpg,images/hotel5_gray3.png,images/hotel5_gray4.jpg,1,1,0,[np.float64(0.4236111111111111)],[np.float64(0.05555555555555555)],[1],[0],[0],[0.78487000009045],"['image5', 'image5']",,,,,,,,0,1,1,4,,,,,,,,,3.776267374982126,,images/hotel5_sample4.jpg,0,[np.float64(0.4236111111111111)],[np.float64(0.05555555555555555)],[1],[0],[0],[0.78487000009045],"['image5', 'image5']",,,,,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,2,2,0,[np.float64(0.1388888888888889)],[np.float64(0.2111111111111111)],[1],[0],[0],[0.4814451669808477],"['image2', 'image2']",,,,,,,,0,2,2,2,,,,,,,,,5.25429075001739,,images/hotel3_sample1.jpg,0,[np.float64(0.1388888888888889)],[np.float64(0.2111111111111111)],[1],[0],[0],[0.4814451669808477],"['image2', 'image2']",,,,,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel2_query.jpg,images/hotel2_sample1.JPEG,images/hotel2_correct.jpg,images/hotel2_sample2.jpg,images/hotel2_sample3.jpg,images/hotel2_sample4.jpeg,images/hotel2_correct.jpg,images/hotel2_gray1.JPEG,images/hotel2_correctGray.jpg,images/hotel2_gray2.jpg,images/hotel2_gray3.jpg,images/hotel2_gray4.jpeg,3,3,0,[np.float64(0.18472222222222223)],[np.float64(0.1597222222222222)],[1],[0],[0],[0.41938520898111165],"['image2', 'image2']",,,,,,,,0,3,3,1,,,,,,,,,6.624481167062186,,images/hotel2_correct.jpg,1,[np.float64(0.18472222222222223)],[np.float64(0.1597222222222222)],[1],[0],[0],[0.41938520898111165],"['image2', 'image2']",,,,,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,4,4,0,[np.float64(0.1763888888888889)],[np.float64(0.21944444444444444)],[1],[0],[0],[0.5181412920355797],"['image2', 'image2']",,,,,,,,0,4,4,0,,,,,,,,,8.089847875060514,,images/hotel1_sample2.jpeg,0,[np.float64(0.1763888888888889)],[np.float64(0.21944444444444444)],[1],[0],[0],[0.5181412920355797],"['image2', 'image2']",,,,,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.3929797079181299,"[(4.0, 1.3929797079181299)]",,,,,,,,,,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel4_query.jpg,images/hotel4_sample1.jpg,images/hotel4_sample2.jpg,images/hotel4_sample3.jpg,images/hotel4_sample4.jpg,images/hotel4_correct.jpg,images/hotel4_correct.jpg,images/hotel4_gray1.jpg,images/hotel4_gray2.jpg,images/hotel4_gray3.jpg,images/hotel4_gray4.jpg,images/hotel4_correctGray.jpg,0,0,0,,,,,,,,[],[],[],[],[],[],[],,,,,0,0,0,3,,,,,11.486921667004935,,images/hotel4_gray4.jpg,0,,,,,,,,,,,11.486921667004935,[],[],[],[],[],[],[],,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel3_query.jpg,images/hotel3_correct.jpg,images/hotel3_sample1.jpg,images/hotel3_sample2.jpeg,images/hotel3_sample3.jpg,images/hotel3_sample4.jpg,images/hotel3_correct.jpg,images/hotel3_correctGray.jpg,images/hotel3_gray1.jpg,images/hotel3_gray2.jpeg,images/hotel3_gray3.jpg,images/hotel3_gray4.jpg,1,1,0,,,,,,,,[],[],[],[],[],[],[],,,,,0,1,1,2,,,,,13.216275042039342,,images/hotel3_gray3.jpg,0,,,,,,,,,,,13.216275042039342,[],[],[],[],[],[],[],,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
images/hotel1_query.jpg,images/hotel1_sample1.jpg,images/hotel1_sample2.jpeg,images/hotel1_sample3.jpg,images/hotel1_correct.jpg,images/hotel1_sample4.jpg,images/hotel1_correct.jpg,images/hotel1_gray1.jpg,images/hotel1_gray2.jpeg,images/hotel1_gray3.jpg,images/hotel1_correctGray.jpg,images/hotel1_gray4.jpg,2,2,0,,,,,,,,[np.float64(0.2625)],[np.float64(-0.02638888888888889)],[1],[0],[0],[0.37581479095388204],"['image4', 'image4']",,,,,0,2,2,0,,,,,14.549313875031658,,images/hotel1_correctGray.jpg,0,,,,,,,,,,,14.549313875031658,[np.float64(0.2625)],[np.float64(-0.02638888888888889)],[1],[0],[0],[0.37581479095388204],"['image4', 'image4']",,001,2025-06-19_15h41.58.140,mock_study,,2025.1.1,2025-06-19 15h42.03.594481 -0400,
