hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,slider.response,slider.rt,slider.history,image3_3.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,0,0,0,[np.float64(0.11805555555555555)],[np.float64(0.05694444444444444)],[1],[0],[0],[0.7968193339183927],"['image4', 'image4']",,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,2.152012459002435,,resources/images/hotel3_sample3.jpg,0,[np.float64(0.11805555555555555)],[np.float64(0.05694444444444444)],[1],[0],[0],[0.7968193339183927],"['image4', 'image4']",,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,1,1,0,[np.float64(0.1111111111111111)],[np.float64(0.2388888888888889)],[1],[0],[0],[0.416931583895348],"['image2', 'image2']",,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,3.908101666951552,,resources/images/hotel1_sample2.jpeg,0,[np.float64(0.1111111111111111)],[np.float64(0.2388888888888889)],[1],[0],[0],[0.416931583895348],"['image2', 'image2']",,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,2,2,0,[np.float64(0.6347222222222222)],[np.float64(0.004166666666666667)],[1],[0],[0],[1.3901649159379303],"['image5', 'image5']",,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,5.2472404999425635,,resources/images/hotel2_sample4.jpeg,0,[np.float64(0.6347222222222222)],[np.float64(0.004166666666666667)],[1],[0],[0],[1.3901649159379303],"['image5', 'image5']",,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,3,3,0,[np.float64(0.22777777777777777)],[np.float64(0.26944444444444443)],[1],[0],[0],[0.7088286658981815],"['image2', 'image2']",,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,7.984641583985649,,resources/images/hotel5_sample2.jpg,0,[np.float64(0.22777777777777777)],[np.float64(0.26944444444444443)],[1],[0],[0],[0.7088286658981815],"['image2', 'image2']",,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,4,4,0,[np.float64(0.5111111111111111)],[np.float64(0.25)],[1],[0],[0],[0.34451616706792265],"['image3', 'image3']",,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,9.357217874960043,,resources/images/hotel4_sample3.jpg,0,[np.float64(0.5111111111111111)],[np.float64(0.25)],[1],[0],[0],[0.34451616706792265],"['image3', 'image3']",,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.995397291961126,"[(4.0, 0.995397291961126)]",,,,,,,,,,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,0,0,0,,,,,,,,[np.float64(0.20972222222222223)],[np.float64(0.001388888888888889)],[1],[0],[0],[0.5531728339847177],"['image4', 'image4']",,,,,,,,,,,,,,,0,0,0,2,,,,,12.302853083936498,,resources/images/hotel3_gray3.jpg,0,,,,,,,,,,,12.302853083936498,[np.float64(0.20972222222222223)],[np.float64(0.001388888888888889)],[1],[0],[0],[0.5531728339847177],"['image4', 'image4']",,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,1,1,0,,,,,,,,[],[],[],[],[],[],[],,,,,,,,,,,,,,,0,1,1,0,,,,,13.869085208978504,,resources/images/hotel1_gray3.jpg,0,,,,,,,,,,,13.869085208978504,[],[],[],[],[],[],[],,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,2,2,0,,,,,,,,[np.float64(0.5597222222222222)],[np.float64(0.25833333333333336)],[1],[0],[0],[0.3715287080267444],"['image3', 'image3']",,,,,,,,,,,,,,,0,2,2,3,,,,,14.930576833896339,,resources/images/hotel4_gray3.jpg,0,,,,,,,,,,,14.930576833896339,[np.float64(0.5597222222222222)],[np.float64(0.25833333333333336)],[1],[0],[0],[0.3715287080267444],"['image3', 'image3']",,,,,,,,,,,,001,2025-06-23_15h23.56.218,mock_study,,2025.1.1,2025-06-23 15h24.11.030507 -0400,
