hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,divider.started,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,slider.response,slider.rt,slider.history,image3_3.started,divider_2.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,divider_3.started,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,0,0,0,[np.float64(0.13194444444444445)],[np.float64(-0.044444444444444446)],[1],[0],[0],[0.7479352499358356],"['image4', 'image4']",,,,,,,,0,0,0,2,,,,,,,,,16.62358612497337,,16.62358612497337,resources/images/hotel3_sample3.jpg,0,[np.float64(0.13194444444444445)],[np.float64(-0.044444444444444446)],[1],[0],[0],[0.7479352499358356],"['image4', 'image4']",,,,,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,1,1,0,[np.float64(0.5027777777777778)],[np.float64(0.001388888888888889)],[1],[0],[0],[0.13251420808956027],"['image5', 'image5']",,,,,,,,0,1,1,1,,,,,,,,,18.27137566707097,,18.27137566707097,resources/images/hotel2_sample4.jpeg,0,[np.float64(0.5027777777777778)],[np.float64(0.001388888888888889)],[1],[0],[0],[0.13251420808956027],"['image5', 'image5']",,,,,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,2,2,0,[],[],[],[],[],[],[],,,,,,,,0,2,2,0,,,,,,,,,19.451600417029113,,19.451600417029113,resources/images/hotel1_sample4.jpg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,3,3,0,[np.float64(0.5027777777777778)],[np.float64(0.001388888888888889)],[1],[0],[0],[0.28479949990287423],"['image5', 'image5']",,,,,,,,0,3,3,3,,,,,,,,,20.65565420803614,,20.65565420803614,resources/images/hotel4_correct.jpg,1,[np.float64(0.5027777777777778)],[np.float64(0.001388888888888889)],[1],[0],[0],[0.28479949990287423],"['image5', 'image5']",,,,,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,4,4,0,[],[],[],[],[],[],[],,,,,,,,0,4,4,4,,,,,,,,,22.293400999973528,,22.293400999973528,resources/images/hotel5_sample3.png,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.8543153329519555,"[(4.0, 0.8543153329519555)]",,,,,,,,,,,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,0,0,0,,,,,,,,[np.float64(0.13472222222222222)],[np.float64(-0.35)],[1],[0],[0],[0.9585334999719635],"['image1', 'image1']",,,,,0,0,0,4,,,,,24.942162542021833,,,resources/images/hotel5_gray1.jpg,0,,,,,,,,,,,24.942162542021833,24.942162542021833,[np.float64(0.13472222222222222)],[np.float64(-0.35)],[1],[0],[0],[0.9585334999719635],"['image1', 'image1']",,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,1,1,0,,,,,,,,[np.float64(0.1763888888888889)],[np.float64(-0.2361111111111111)],[1],[0],[0],[0.33287495898548514],"['image1', 'image1']",,,,,0,1,1,3,,,,,26.647957250010222,,,resources/images/hotel4_gray1.jpg,0,,,,,,,,,,,26.647957250010222,26.647957250010222,[np.float64(0.1763888888888889)],[np.float64(-0.2361111111111111)],[1],[0],[0],[0.33287495898548514],"['image1', 'image1']",,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,2,2,0,,,,,,,,[],[],[],[],[],[],[],,,,,0,2,2,0,,,,,28.00331308308523,,,resources/images/hotel1_correctGray.jpg,0,,,,,,,,,,,28.00331308308523,28.00331308308523,[],[],[],[],[],[],[],,,001,2025-06-23_16h21.31.045,mock_study,,2025.1.1,2025-06-23 16h22.00.185916 -0400,
