hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,divider.started,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,slider.response,slider.rt,slider.history,divider_2.started,image3_3.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,0,0,0,[],[],[],[],[],[],[],,,,,,,,0,0,0,4,,,,,,,,,4.8510387080023065,,4.8510387080023065,resources/images/hotel5_sample2.jpg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,1,1,0,[np.float64(0.4444444444444444)],[np.float64(0.38333333333333336)],[1],[0],[0],[8.509130874997936],"['image3', 'image3']",,,,,,,,0,1,1,2,,,,,,,,,7.0105101249646395,,7.0105101249646395,resources/images/hotel3_sample2.jpeg,0,[np.float64(0.4444444444444444)],[np.float64(0.38333333333333336)],[1],[0],[0],[8.509130874997936],"['image3', 'image3']",,,,,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,2,2,0,[np.float64(0.5666666666666667)],[np.float64(0.1625)],[1],[0],[0],[0.4756588329328224],"['image3', 'image3']",,,,,,,,0,2,2,0,,,,,,,,,16.466138583025895,,16.466138583025895,resources/images/hotel1_sample3.jpg,0,[np.float64(0.5666666666666667)],[np.float64(0.1625)],[1],[0],[0],[0.4756588329328224],"['image3', 'image3']",,,,,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,3,3,0,[np.float64(0.5666666666666667)],[np.float64(0.1625)],[1],[0],[0],[0.5514087500050664],"['image3', 'image3']",,,,,,,,0,3,3,1,,,,,,,,,17.890179291018285,,17.890179291018285,resources/images/hotel2_sample2.jpg,0,[np.float64(0.5666666666666667)],[np.float64(0.1625)],[1],[0],[0],[0.5514087500050664],"['image3', 'image3']",,,,,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,4,4,0,[],[],[],[],[],[],[],,,,,,,,0,4,4,3,,,,,,,,,19.44404345797375,,19.44404345797375,resources/images/hotel4_sample3.jpg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.921000957954675,"[(5.0, 0.921000957954675)]",,,,,,,,,,,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,0,0,0,,,,,,,,[np.float64(0.30694444444444446)],[np.float64(-0.10972222222222222)],[1],[0],[0],[0.5396145000122488],"['image4', 'image4']",,,,,0,0,0,3,,,,,22.381597833009437,,,resources/images/hotel4_gray4.jpg,0,,,,,,,,,,,22.381597833009437,22.381597833009437,[np.float64(0.30694444444444446)],[np.float64(-0.10972222222222222)],[1],[0],[0],[0.5396145000122488],"['image4', 'image4']",,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,1,1,0,,,,,,,,[],[],[],[],[],[],[],,,,,0,1,1,2,,,,,23.995866250013933,,,resources/images/hotel3_gray4.jpg,0,,,,,,,,,,,23.995866250013933,23.995866250013933,[],[],[],[],[],[],[],,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,2,2,0,,,,,,,,[np.float64(0.4013888888888889)],[np.float64(-0.027777777777777776)],[1],[0],[0],[0.6594775409903377],"['image5', 'image5']",,,,,0,2,2,4,,,,,25.308582333032973,,,resources/images/hotel5_gray4.jpg,0,,,,,,,,,,,25.308582333032973,25.308582333032973,[np.float64(0.4013888888888889)],[np.float64(-0.027777777777777776)],[1],[0],[0],[0.6594775409903377],"['image5', 'image5']",,001,2025-06-23_16h41.10.177,mock_study,,2025.1.1,2025-06-23 16h41.13.269264 -0400,
