hotel_query,choice1,choice2,choice3,choice4,choice5,correct_answer,gray1,gray2,gray3,gray4,gray5,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,toggle_button.numClicks,toggle_button.timesOn,toggle_button.timesOff,trialsColor.thisRepN,trialsColor.thisTrialN,trialsColor.thisN,trialsColor.thisIndex,trialsGray.thisRepN,trialsGray.thisTrialN,trialsGray.thisN,trialsGray.thisIndex,trialsGray_Color.thisRepN,trialsGray_Color.thisTrialN,trialsGray_Color.thisN,trialsGray_Color.thisIndex,thisRow.t,notes,divider.started,clicked_image,isCorrect,trialsColor.mouse.x,trialsColor.mouse.y,trialsColor.mouse.leftButton,trialsColor.mouse.midButton,trialsColor.mouse.rightButton,trialsColor.mouse.time,trialsColor.mouse.clicked_name,slider.response,slider.rt,slider.history,divider_2.started,image3_3.started,trialsGray.mouse_3.x,trialsGray.mouse_3.y,trialsGray.mouse_3.leftButton,trialsGray.mouse_3.midButton,trialsGray.mouse_3.rightButton,trialsGray.mouse_3.time,trialsGray.mouse_3.clicked_name,divider_3.started,trialsGray_Color.mouse_2.x,trialsGray_Color.mouse_2.y,trialsGray_Color.mouse_2.leftButton,trialsGray_Color.mouse_2.midButton,trialsGray_Color.mouse_2.rightButton,trialsGray_Color.mouse_2.time,trialsGray_Color.mouse_2.clicked_name,trialsGray_Color.toggle_button.numClicks,trialsGray_Color.toggle_button.timesOn,trialsGray_Color.toggle_button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,0,0,0,[np.float64(0.19583333333333333)],[np.float64(-0.029166666666666667)],[1],[0],[0],[0.47813016700092703],"['image4', 'image4']",,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,1.1896393749630079,,1.1896393749630079,resources/images/hotel2_sample3.jpg,0,[np.float64(0.19583333333333333)],[np.float64(-0.029166666666666667)],[1],[0],[0],[0.47813016700092703],"['image4', 'image4']",,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,1,1,0,[np.float64(0.5236111111111111)],[np.float64(0.17083333333333334)],[1],[0],[0],[0.7558688330464065],"['image3', 'image3']",,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,2.6628719159634784,,2.6628719159634784,resources/images/hotel4_sample3.jpg,0,[np.float64(0.5236111111111111)],[np.float64(0.17083333333333334)],[1],[0],[0],[0.7558688330464065],"['image3', 'image3']",,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel1_query.jpg,resources/images/hotel1_sample1.jpg,resources/images/hotel1_sample2.jpeg,resources/images/hotel1_sample3.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_sample4.jpg,resources/images/hotel1_correct.jpg,resources/images/hotel1_gray1.jpg,resources/images/hotel1_gray2.jpeg,resources/images/hotel1_gray3.jpg,resources/images/hotel1_correctGray.jpg,resources/images/hotel1_gray4.jpg,2,2,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,4.467218249919824,,4.467218249919824,resources/images/hotel1_sample3.jpg,0,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,3,3,0,[np.float64(0.5236111111111111)],[np.float64(0.17083333333333334)],[1],[0],[0],[0.43814841704443097],"['image3', 'image3']",,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,5.633165207924321,,5.633165207924321,resources/images/hotel3_sample2.jpeg,0,[np.float64(0.5236111111111111)],[np.float64(0.17083333333333334)],[1],[0],[0],[0.43814841704443097],"['image3', 'image3']",,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel5_query.jpg,resources/images/hotel5_sample1.jpg,resources/images/hotel5_sample2.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_sample3.png,resources/images/hotel5_sample4.jpg,resources/images/hotel5_correct.jpg,resources/images/hotel5_gray1.jpg,resources/images/hotel5_gray2.jpg,resources/images/hotel5_correctGray.jpg,resources/images/hotel5_gray3.png,resources/images/hotel5_gray4.jpg,4,4,0,[np.float64(0.6861111111111111)],[np.float64(0.21388888888888888)],[1],[0],[0],[0.5498037919169292],"['image3', 'image3']",,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,7.328821290982887,,7.328821290982887,resources/images/hotel5_correct.jpg,1,[np.float64(0.6861111111111111)],[np.float64(0.21388888888888888)],[1],[0],[0],[0.5498037919169292],"['image3', 'image3']",,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.369675875059329,"[(4.0, 1.369675875059329)]",,,,,,,,,,,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel3_query.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_sample1.jpg,resources/images/hotel3_sample2.jpeg,resources/images/hotel3_sample3.jpg,resources/images/hotel3_sample4.jpg,resources/images/hotel3_correct.jpg,resources/images/hotel3_correctGray.jpg,resources/images/hotel3_gray1.jpg,resources/images/hotel3_gray2.jpeg,resources/images/hotel3_gray3.jpg,resources/images/hotel3_gray4.jpg,0,0,0,,,,,,,,[np.float64(0.3111111111111111)],[np.float64(0.15138888888888888)],[1],[0],[0],[0.5816511249868199],"['image2', 'image2']",,,,,,,,,,,,,,,0,0,0,2,,,,,10.341312333010137,,,resources/images/hotel3_gray1.jpg,0,,,,,,,,,,,10.341312333010137,10.341312333010137,[np.float64(0.3111111111111111)],[np.float64(0.15138888888888888)],[1],[0],[0],[0.5816511249868199],"['image2', 'image2']",,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel4_query.jpg,resources/images/hotel4_sample1.jpg,resources/images/hotel4_sample2.jpg,resources/images/hotel4_sample3.jpg,resources/images/hotel4_sample4.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_correct.jpg,resources/images/hotel4_gray1.jpg,resources/images/hotel4_gray2.jpg,resources/images/hotel4_gray3.jpg,resources/images/hotel4_gray4.jpg,resources/images/hotel4_correctGray.jpg,1,1,0,,,,,,,,[np.float64(0.65)],[np.float64(0.21805555555555556)],[1],[0],[0],[0.40283391694538295],"['image3', 'image3']",,,,,,,,,,,,,,,0,1,1,3,,,,,11.889993082964793,,,resources/images/hotel4_gray3.jpg,0,,,,,,,,,,,11.889993082964793,11.889993082964793,[np.float64(0.65)],[np.float64(0.21805555555555556)],[1],[0],[0],[0.40283391694538295],"['image3', 'image3']",,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
resources/images/hotel2_query.jpg,resources/images/hotel2_sample1.JPEG,resources/images/hotel2_correct.jpg,resources/images/hotel2_sample2.jpg,resources/images/hotel2_sample3.jpg,resources/images/hotel2_sample4.jpeg,resources/images/hotel2_correct.jpg,resources/images/hotel2_gray1.JPEG,resources/images/hotel2_correctGray.jpg,resources/images/hotel2_gray2.jpg,resources/images/hotel2_gray3.jpg,resources/images/hotel2_gray4.jpeg,2,2,0,,,,,,,,[np.float64(0.23055555555555557)],[np.float64(0.24444444444444444)],[1],[0],[0],[0.11388104199431837],"['image2', 'image2']",,,,,,,,,,,,,,,0,2,2,1,,,,,13.288588957977481,,,resources/images/hotel2_correctGray.jpg,0,,,,,,,,,,,13.288588957977481,13.288588957977481,[np.float64(0.23055555555555557)],[np.float64(0.24444444444444444)],[1],[0],[0],[0.11388104199431837],"['image2', 'image2']",,,,,,,,,,,,,001,2025-06-23_16h43.05.065,mock_study,,2025.1.1,2025-06-23 16h43.08.804108 -0400,
